volts,time,
2467,12:37:54:738,
2590,12:37:54:743,
2452,12:37:54:748,
2539,12:37:54:753,
2431,12:37:54:758,
2559,12:37:54:763,
2557,12:37:54:768,
2423,12:37:54:774,
2331,12:37:54:778,
1725,12:37:54:783,
2128,12:37:54:788,
2253,12:37:54:793,
2032,12:37:54:800,
2399,12:37:54:803,
2181,12:37:54:808,
3295,12:37:54:813,
2162,12:37:54:818,
1906,12:37:54:823,
2129,12:37:54:830,
2047,12:37:54:833,
2115,12:37:54:838,
2097,12:37:54:843,
2101,12:37:54:848,
1922,12:37:54:853,
1898,12:37:54:858,
2099,12:37:54:863,
2320,12:37:54:869,
2154,12:37:54:873,
2299,12:37:54:879,
2135,12:37:54:883,
2351,12:37:54:888,
2503,12:37:54:895,
2495,12:37:54:899,
2655,12:37:54:903,
2559,12:37:54:908,
2603,12:37:54:913,
2651,12:37:54:918,
2557,12:37:54:923,
2677,12:37:54:928,
2512,12:37:54:933,
2623,12:37:54:938,
2608,12:37:54:943,
2531,12:37:54:949,
2525,12:37:54:955,
2431,12:37:54:958,
2518,12:37:54:963,
2514,12:37:54:968,
2405,12:37:54:973,
2457,12:37:54:978,
2103,12:37:54:983,
1952,12:37:54:988,
2269,12:37:54:993,
2171,12:37:54:998,
2256,12:37:55:003,
2145,12:37:55:008,
2261,12:37:55:013,
2384,12:37:55:018,
2454,12:37:55:023,
2527,12:37:55:028,
2461,12:37:55:034,
2518,12:37:55:038,
2590,12:37:55:043,
2510,12:37:55:051,
2559,12:37:55:053,
2385,12:37:55:058,
2546,12:37:55:063,
2547,12:37:55:068,
2511,12:37:55:073,
2498,12:37:55:080,
2397,12:37:55:083,
2481,12:37:55:088,
2511,12:37:55:093,
2375,12:37:55:098,
2610,12:37:55:103,
2371,12:37:55:108,
2445,12:37:55:113,
2439,12:37:55:118,
2391,12:37:55:123,
2422,12:37:55:128,
2285,12:37:55:133,
2319,12:37:55:138,
1938,12:37:55:145,
2197,12:37:55:148,
2308,12:37:55:153,
2165,12:37:55:158,
2238,12:37:55:163,
2178,12:37:55:168,
2128,12:37:55:174,
2263,12:37:55:179,
2159,12:37:55:183,
2203,12:37:55:189,
2275,12:37:55:193,
2234,12:37:55:198,
2262,12:37:55:205,
2103,12:37:55:209,
2191,12:37:55:213,
2235,12:37:55:219,
2217,12:37:55:223,
2205,12:37:55:228,
2096,12:37:55:232,
2219,12:37:55:237,
2307,12:37:55:242,
2257,12:37:55:248,
2259,12:37:55:253,
2096,12:37:55:258,
2241,12:37:55:263,
2353,12:37:55:268,
2159,12:37:55:273,
2112,12:37:55:278,
2031,12:37:55:282,
2047,12:37:55:287,
2271,12:37:55:293,
2197,12:37:55:300,
2195,12:37:55:302,
2033,12:37:55:308,
2069,12:37:55:313,
1818,12:37:55:318,
1790,12:37:55:323,
2174,12:37:55:328,
1863,12:37:55:333,
2065,12:37:55:338,
2181,12:37:55:343,
2003,12:37:55:348,
1923,12:37:55:353,
1726,12:37:55:358,
1985,12:37:55:363,
2158,12:37:55:368,
2043,12:37:55:373,
2483,12:37:55:378,
2699,12:37:55:383,
2210,12:37:55:388,
2338,12:37:55:394,
2256,12:37:55:398,
2187,12:37:55:403,
2197,12:37:55:408,
2239,12:37:55:413,
2167,12:37:55:418,
2039,12:37:55:426,
